"specialty","visiting_city","visiting_site","visiting_lat","visiting_lon","frequency","origin_site","origin_city","origin_lat","origin_lon","consultant_name"
"Pediatric Cardiology","Ames","McFarland Clinic - Duff Ave","42.0268","-93.62018","2/MO","Pediatric Cardiology PC","Des Moines","41.58882","-93.62031","Jill Kathryn Shivapour, MD"
"Pediatric Gastroenterology","Ames","McFarland Clinic - Duff Ave","42.0268","-93.62018","1/MO","MercyOne Clinic Peds Subspecialty - Des Moines","Des Moines","41.58882","-93.62031","Daniel E Dimeo, MD"
"Cardiovascular Disease","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","3+/WK","UnityPoint Clinic Cardiology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Subhi A Abu-Halawa, MD"
"Cardiovascular Disease","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","3+/WK","UnityPoint Clinic Cardiology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Fahed Hassib Al Darazi, MD"
"Cardiovascular Disease","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","3+/WK","UnityPoint Clinic Cardiology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Keith Jon Kopec, MD"
"Cardiovascular Disease","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","3+/WK","UnityPoint Clinic Cardiology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Weiwei Li, MD"
"Cardiovascular Disease","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","3+/WK","UnityPoint Clinic Cardiology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Laila Alexandra Payvandi, MD"
"Cardiovascular Disease","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","3+/WK","UnityPoint Clinic Cardiology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Boothapuri Venkatesh, MD"
"Cardiovascular Disease","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","3+/WK","UnityPoint Clinic Cardiology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Hisham M Wagdy, MD"
"Gastroenterology","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","2/MO","UnityPoint Clinic Gastroenterology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Pavan Chepyala, MD"
"Gastroenterology","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","2/MO","UnityPoint Clinic Gastroenterology - Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Leon Liang Qiao, MD"
"General Surgery","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","3/MO","PCI Surgical Specialists","Cedar Rapids","41.97805","-91.66986","Luke Christopher Brunner, MD"
"General Surgery","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","1/WK","PCI Surgical Specialists","Cedar Rapids","41.97805","-91.66986","Andrew George Nowell, MD"
"Medical Oncology","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","1/MO","Oncology Assoc of Cedar Rapids","Cedar Rapids","41.97805","-91.66986","Deborah W Wilbur, MD"
"Nephrology","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","2/MO","UnityPoint Clinic - Diabetes/Kidney Center","Cedar Rapids","41.97805","-91.66986","Paramesh Babu Ramadugu, MD"
"Obstetrics & Gynecology","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","1/MO","Iowa Women's Health Center","Cedar Rapids","41.97805","-91.66986","Jason A Rexroth, MD"
"Ophthalmology","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","1/MO","Fox Eye Laser Vision Inst. PC","Cedar Rapids","41.97805","-91.66986","Lee D Birchansky, MD"
"Orthopaedic Surgery","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","2/MO","PCI Orthopedics","Cedar Rapids","41.97805","-91.66986","John David Hart, MD"
"Orthopaedic Surgery","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","2/MO","PCI Orthopedics","Cedar Rapids","41.97805","-91.66986","Peter Donnan Pardubsky, MD"
"Otolaryngology","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","2/MO","PCI ENT Clinic","Cedar Rapids","41.97805","-91.66986","Melanie Lucille Giesler-Spellman, DO"
"Physical Medicine & Rehab","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","2/MO","UnityPoint - St Luke's Hospital","Cedar Rapids","41.97805","-91.66986","Nicholas Robert Appleby, DO"
"Pulmonary Disease","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","1/MO","UnityPoint Clinic Multi Specialty - CR","Cedar Rapids","41.97805","-91.66986","Vijaya Kumar Gogineni, MD"
"Pulmonary Disease","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","2/MO","UnityPoint Clinic Multi Specialty - CR","Cedar Rapids","41.97805","-91.66986","Brian Douglas Lindsay, MD"
"Urology","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","1/MO","PCI Urology Clinic","Cedar Rapids","41.97805","-91.66986","Logan D Hoxie, MD"
"Urology","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","1/MO","PCI Urology Clinic","Cedar Rapids","41.97805","-91.66986","Gregory Michael Janda, MD"
"Urology","Anamosa","Jones Regional Medical Center","42.10824","-91.28551","1/MO","PCI Urology Clinic","Cedar Rapids","41.97805","-91.66986","Michael Andrew Moriarty, MD"
"Allergy & Immunology","Ankeny","McFarland Clinic - Ankeny Specialty","41.72508","-93.60041","2/MO","McFarland Clinic - Duff Ave","Ames","42.0268","-93.62018","Jason Allen Cascio, MD"
"Neurology","Ankeny","McFarland Clinic - Ankeny Specialty","41.72508","-93.60041","3/MO","McFarland Clinic - Medical Arts Building","Ames","42.0268","-93.62018","David B Moore, MD"
"Neurology","Ankeny","McFarland Clinic - Ankeny Specialty","41.72508","-93.60041","3/MO","McFarland Clinic - Medical Arts Building","Ames","42.0268","-93.62018","Semira Ramic, DO"
"Vascular Surgery","Ankeny","McFarland Clinic - Ankeny Specialty","41.72508","-93.60041","1/MO","McFarland Clinic - Duff Ave","Ames","42.0268","-93.62018","Firas Salti, MD"
"Allergy & Immunology","Atlantic","Cass Health Hospital","41.40401","-95.01443","1/MO","Allergy Asthma & Sinus Center PC","West Des Moines","41.5755","-93.71303","Ravinder K Agarwal, MD"
"Cardiovascular Disease","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","The Heart Institute","Omaha, NE","41.25865","-95.93719","John Stephen Henry, MD"
"Cardiovascular Disease","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","Methodist Phyisican Clinic Heart Care","Council Bluffs","41.25896","-95.85436","Gina Grace Mentzer, MD"
"Cardiovascular Disease","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/WK","CHI Heart and Vascular Specialists","Omaha, NE","41.25865","-95.93719","Ann Elizabeth Narmi, MD"
"Cardiovascular Disease","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/WK","CHI Health Cardiology","Omaha, NE","41.25865","-95.93719","Atul A Ramachandran, MD"
"Gastroenterology","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","Midwest GI Associates PC","Omaha, NE","41.25865","-95.93719","Helen Fasanya-Uptagraft, MD"
"Gastroenterology","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","Midwest GI Associates PC","Omaha, NE","41.25865","-95.93719","Benjamin Stuart Hall, MD"
"General Surgery","Atlantic","Cass Health Hospital","41.40401","-95.01443","1/MO","Methodist Health Systems","Omaha, NE","41.25865","-95.93719","John Moonkeun Park, MD"
"Gynecologic Oncology","Atlantic","Cass Health Hospital","41.40401","-95.01443","1/MO","University of Nebraska Med Ctr","Omaha, NE","41.25865","-95.93719","Kerry Julene Rodabaugh, MD"
"Interventional Cardiology","Atlantic","Cass Health Hospital","41.40401","-95.01443","1/WK","The Heart Institute","Omaha, NE","41.25865","-95.93719","Michael M Dehning, MD"
"Interventional Cardiology","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/WK","CHI Heart and Vascular Specialists","Omaha, NE","41.25865","-95.93719","Toufik Mahfood-Haddad, MD"
"Medical Oncology","Atlantic","Cass Health Hospital","41.40401","-95.01443","1/WK","Mission Cancer + Blood - John Stoddard","Des Moines","41.58882","-93.62031","Seema Harichand-Herdt, MD"
"Medical Oncology","Atlantic","Cass Health Hospital","41.40401","-95.01443","1/MO","Heartland Oncology & Hematology","Council Bluffs","41.25896","-95.85436","Sakeer Hussain, MD"
"Neurological Surgery","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","Doctor's Building North","Omaha, NE","41.25865","-95.93719","Ric Edee Jensen, MD"
"Neurological Surgery","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","MD West One","Omaha, NE","41.25865","-95.93719","Jordan Patrick Lacy, MD"
"Neurological Surgery","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","MD West One","Omaha, NE","41.25865","-95.93719","Keith Raman Lodhia, MD"
"Neurology","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","St Anthony Clinic - Carroll","Carroll","42.06565","-94.86722","Brian Lee Boes, MD"
"Pediatric Cardiology","Atlantic","Cass Health Hospital","41.40401","-95.01443","1/WK","Childrens Hospital & Medical Center","Omaha, NE","41.25865","-95.93719","Thomas John Blount, MD"
"Pulmonary Disease","Atlantic","Cass Health Hospital","41.40401","-95.01443","1/MO","Methodist Phyicians Clinic Pulmonary/Neurology","Council Bluffs","41.25896","-95.85436","Palvannananthan Ganesan, MD"
"Pulmonary Disease","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","Methodist Phyicians Clinic Pulmonary/Neurology","Council Bluffs","41.25896","-95.85436","Sumit Mukherjee, MD"
"Rheumatology","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","Iowa Arthritis & Osteoporosis Center","Urbandale","41.63033","-93.7365","Gino Paul Chesini, DO"
"Rheumatology","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","Iowa Arthritis & Osteoporosis Center","Urbandale","41.63033","-93.7365","Matthew James Samec, MD"
"Rheumatology","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","Iowa Arthritis & Osteoporosis Center","Urbandale","41.63033","-93.7365","Thomas William Schmidt, MD"
"Rheumatology","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","Iowa Arthritis & Osteoporosis Center","Urbandale","41.63033","-93.7365","Stephen James Slade, MD"
"Urology","Atlantic","Cass Health Hospital","41.40401","-95.01443","1/WK","Adult & Pediatric Urology PC","Omaha, NE","41.25865","-95.93719","Euclid R J De Souza, MD"
"Urology","Atlantic","Cass Health Hospital","41.40401","-95.01443","1/WK","Adult & Pediatric Urology PC","Omaha, NE","41.25865","-95.93719","John D Horgan, MD"
"Urology","Atlantic","Cass Health Hospital","41.40401","-95.01443","2/MO","Urology Center of Iowa","Clive","41.60709","-93.77495","McCabe Clayton Kenny, MD"
"Ophthalmology","Atlantic","Eye Associates of Atlantic","41.40401","-95.01443","2/MO","Midwest EyeCare","Omaha, NE","41.25865","-95.93719","Jesse Theodore Himebaugh, MD"
"Ophthalmology","Atlantic","Eye Associates of Atlantic","41.40401","-95.01443","2/MO","Midwest EyeCare","Omaha, NE","41.25865","-95.93719","David Ingvoldstad, MD"
"Cardiovascular Disease","Audubon","Audubon County Memorial Hospital","41.71697","-94.93186","2/MO","Iowa Heart Center - Carroll","Carroll","42.06565","-94.86722","Kyle Gerard Ulveling, MD"
"Obstetrics & Gynecology","Audubon","Audubon County Memorial Hospital","41.71697","-94.93186","2/MO","Shenandoah Physicians Clinic","Shenandoah","40.76599","-95.37385","Michael P Woods, MD"
"Orthopaedic Surgery","Audubon","Audubon County Memorial Hospital","41.71697","-94.93186","2/MO","St Anthony Regional Hospital","Carroll","42.06565","-94.86722","Richard Brian Goding, MD"
"Otolaryngology","Audubon","Audubon County Memorial Hospital","41.71697","-94.93186","2/MO","ENT Specialists PC","Omaha, NE","41.25865","-95.93719","Kyle Jonathan Stansifer, MD"
"Urology","Audubon","Audubon County Memorial Hospital","41.71697","-94.93186","2/MO","Lakeview Center for Urology","West Des Moines","41.5755","-93.71303","Fawad S Zafar, MD"
"Cardiovascular Disease","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Muhammad Anwar Al Sharif, DO"
"Cardiovascular Disease","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Byron T Beasley, MD"
"Cardiovascular Disease","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Radu Hagau, MD"
"General Surgery","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","1/WK","Iowa Weight Loss Specialists - Des Moines","Des Moines","41.58882","-93.62031","Todd Allen Eibes, MD"
"General Surgery","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","3+/WK","UnityPoint Surgery Center - Fort Dodge","Fort Dodge","42.50117","-94.16939","Ericha Lee Worple, DO"
"Hand Surgery","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","2/MO","McFarland Clinic - Duff Ave","Ames","42.0268","-93.62018","Betsey Katherine Bean, DO"
"Pain Medicine Anes","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","2/WK","Iowa Specialty Hospital - Clarion","Clarion","42.73076","-93.73283","Shelley Marie Wells, DO"
"Urology","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Timothy L Mulholland, MD"
"Urology","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Kevin R Rier, MD"
"Urology","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Elizabeth B Takacs, MD"
"Urology","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Steven Patrick Thoma, MD"
"Vascular Surgery","Belmond","Iowa Specialty Hospital/Clinics - Belmond","42.84875","-93.6024","1/MO","UnityPoint Surgery Center - Fort Dodge","Fort Dodge","42.50117","-94.16939","Michael J Willerth, MD"
"Dermatology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","2/MO","UIHC - Dept of Dermatology IRL","Coralville","41.67268","-91.57777","Paula Annechino Giudici, MD"
"Dermatology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","2/MO","UIHC - Dept of Dermatology","Iowa City","41.66124","-91.53013","Vincent Liu, MD"
"Dermatology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","3+/WK","UIHC Clinic/Urgent Care - Bettendorf","Bettendorf","41.52627","-90.50728","Melissa Willis, MD"
"Neurology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","2/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Satsuki Matsumoto, MD"
"Pediatric Endocrinology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","1/WK","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Lauren Amanda Kanner, MD"
"Pediatric Endocrinology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","1/WK","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Katie Marie Larson Ode, MD"
"Pediatric Gastroenterology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Aamer Imdad, MD"
"Pediatric Gastroenterology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Riad M Rahhal, MD"
"Pediatric Hematology - Oncology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Anjali Alatkar Sharathkumar, MD"
"Pediatric Medical Genetics","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","<1/MO","UIHC Pediatrics - IRL","Coralville","41.67268","-91.57777","Nicole Pauline Safina, MD"
"Pediatric Medical Genetics","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","<1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Alpa Sidhu, MD"
"Pediatric Nephrology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Kang Yu Kathy Lee-Son, MD"
"Pediatric Neurodevelopmental Disabilities","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","1/WK","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Deborah C Lin-Dyken, MD"
"Pediatric Neurodevelopmental Disabilities","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","<1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Katherine D Mathews, MD"
"Pediatric Pulmonology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","1/WK","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Rebecca Larie Weiner, MD"
"Pediatric Urology","Bettendorf","Child Health Specialty Clinic - Bettendorf","41.52627","-90.50728","1/MO","UIHC - Dept of Urology","Iowa City","41.66124","-91.53013","Gina Marie Lockwood, MD"
"Pulmonary Disease","Bettendorf","UnityPoint Clinic Multi Specialty - Bettendorf","41.52627","-90.50728",NULL,"UIHC Medical Center Downtown","Iowa City","41.66124","-91.53013","Michael Shamaine Hoffman, MD"
"Allergy & Immunology","Bloomfield","Davis County Hospital","40.75067","-92.41369","2/MO","Kirksville Allergy & Asthma","Kirksville, MO","40.19472","-92.58205","Lawrence Lester Ciesemier, DO"
"Orthopaedic Surgery","Bloomfield","Davis County Hospital","40.75067","-92.41369","1/WK","Wayne County Hospital","Corydon","40.75842","-93.31806","Shehada Mohamad Homedan, MD"
"Otolaryngology","Bloomfield","Davis County Hospital","40.75067","-92.41369","2/MO","UnityPoint Clinic ENT - Grinnell","Grinnell","41.74327","-92.72736","Joseph Keith Whitman, DO"
"Urology","Bloomfield","Davis County Hospital","40.75067","-92.41369","2/MO","Premier Specialty Network","Columbia, MO","38.95155","-92.32859","Robert Edward Remis, MD"
"Allergy & Immunology","Boone","Boone County Hospital","42.05657","-93.87996","1/MO","McFarland Clinic - Duff Ave","Ames","42.0268","-93.62018","Jay Edward Brown, MD"
"Cardiovascular Disease","Boone","Boone County Hospital","42.05657","-93.87996","2/MO","Iowa Heart Center - Ames","Ames","42.0268","-93.62018","Rakshak Sarda, MD"
"Medical Oncology","Boone","Boone County Hospital","42.05657","-93.87996","2/MO","McFarland - William Bliss Cancer Center","Ames","42.0268","-93.62018","Austin Robert Greco, MD"
"Nephrology","Boone","Boone County Hospital","42.05657","-93.87996","1/MO","McFarland Clinic - Medical Arts Building","Ames","42.0268","-93.62018","Jacob C Alexander, MD"
"Ophthalmology","Boone","Boone County Hospital","42.05657","-93.87996","2/MO","Wolfe Eye Clinic - Des Moines","West Des Moines","41.5755","-93.71303","Gregory Allen Christiansen, MD"
"Otolaryngology","Boone","Boone County Hospital","42.05657","-93.87996","1/WK","MercyOne Clinics ENT - Clive","Clive","41.60709","-93.77495","Corey W Mineck, MD"
"Otolaryngology","Boone","Boone County Hospital","42.05657","-93.87996","1/WK","MercyOne Clinics ENT - Clive","Clive","41.60709","-93.77495","Matthew B Morgan, MD"
"Physical Medicine & Rehab","Boone","Boone County Hospital","42.05657","-93.87996","1/MO","Iowa Clinic - Physical Med/Podiatry","West Des Moines","41.5755","-93.71303","Todd C Troll, MD"
"Pulmonary Disease","Boone","Boone County Hospital","42.05657","-93.87996","2/MO","Iowa Clinic Pulmonary","West Des Moines","41.5755","-93.71303","Amerlon L Enriquez, MD"
"Pulmonary Disease","Boone","Boone County Hospital","42.05657","-93.87996","2/MO","Iowa Clinic Pulmonary","West Des Moines","41.5755","-93.71303","James Christopher Mallen, DO"
"General Surgery","Boone","Comprehensive Specialty Care","42.05657","-93.87996","2/MO","Audubon County Memorial Hospital","Audubon","41.71697","-94.93186","Jeffrey M Maire, DO"
"Orthopaedic Surgery","Boone","Comprehensive Specialty Care","42.05657","-93.87996","2/WK","Iowa Orthopaedic Center - Des Moines","Des Moines","41.58882","-93.62031","Steven Anthony Aviles, MD"
"Orthopaedic Surgery","Boone","Comprehensive Specialty Care","42.05657","-93.87996","2/WK","Iowa Orthopaedic Center - Des Moines","Des Moines","41.58882","-93.62031","Craig R Mahoney, MD"
"Orthopaedic Surgery","Boone","Comprehensive Specialty Care","42.05657","-93.87996","2/WK","Iowa Orthopaedic Center - Des Moines","Des Moines","41.58882","-93.62031","Benjamin Stanley Paulson, MD"
"Ophthalmology","Boone","McFarland Eye Center","42.05657","-93.87996","1/MO","McFarland Clinic - Duff Ave Eye Center","Ames","42.0268","-93.62018","Nicolas G Hamouche, MD"
"Cardiovascular Disease","Britt","Hancock County Memorial Hospital","43.09783","-93.80182","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Byron T Beasley, MD"
"Cardiovascular Disease","Britt","Hancock County Memorial Hospital","43.09783","-93.80182","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Denisa Lavinia Hagau, MD"
"Dermatology","Britt","Hancock County Memorial Hospital","43.09783","-93.80182","1/MO","MercyOne Clinics Dermatology - Mason City","Mason City","43.15362","-93.20104","Yen Chen Liu, MD"
"General Surgery","Britt","Hancock County Memorial Hospital","43.09783","-93.80182","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Kathryn Leighton Schwalbe, DO"
"Nephrology","Britt","Hancock County Memorial Hospital","43.09783","-93.80182","4+/MO","MercyOne North Iowa Specialty Care - Mason City","Mason City","43.15362","-93.20104","Mark I Chieh Hong, MD"
"Ophthalmology","Britt","Hancock County Memorial Hospital","43.09783","-93.80182","1/MO","North Iowa Eye Clinic","Mason City","43.15362","-93.20104","Melissa Marie Summerfield, MD"
"Orthopaedic Surgery","Britt","Hancock County Memorial Hospital","43.09783","-93.80182","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Mihail Radulescu, MD"
"Otolaryngology","Britt","Hancock County Memorial Hospital","43.09783","-93.80182","2/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Vishram Jalukar, MD"
"Plastic Surgery","Britt","Hancock County Memorial Hospital","43.09783","-93.80182","1/MO","SOMA Med Spa & Wellness Clinic","Algona","43.06987","-94.23302","Harry M Condoleon, DO"
"Cardiovascular Disease","Carroll","Iowa Heart Center - Carroll","42.06565","-94.86722","1/MO","Iowa Heart Center - West Des Moines","West Des Moines","41.5755","-93.71303","Laurie M Kuestner, MD"
"Allergy & Immunology","Carroll","McFarland Clinic/Urgent Care - Carroll","42.06565","-94.86722","2/MO","McFarland Clinic - Duff Ave","Ames","42.0268","-93.62018","Edward G Nassif, MD"
"Neurology","Carroll","McFarland Clinic/Urgent Care - Carroll","42.06565","-94.86722","1/MO","McFarland Clinic - Medical Arts Building","Ames","42.0268","-93.62018","David B Moore, MD"
"Obstetrics & Gynecology","Carroll","McFarland Clinic/Urgent Care - Carroll","42.06565","-94.86722","3/MO","McFarland Clinic - Medical Arts Building","Ames","42.0268","-93.62018","Jack Jeffrey Swanson, DO"
"Ophthalmology","Carroll","McFarland Clinic/Urgent Care - Carroll","42.06565","-94.86722","2/MO","McFarland Clinic - Duff Ave Eye Center","Ames","42.0268","-93.62018","Joy Natalie Carroll, MD"
"Orthopaedic Surgery","Carroll","McFarland Clinic/Urgent Care - Carroll","42.06565","-94.86722","1/MO","McFarland Clinic - Duff Ave","Ames","42.0268","-93.62018","Christy Marie Christophersen, MD"
"Orthopaedic Surgery","Carroll","McFarland Clinic/Urgent Care - Carroll","42.06565","-94.86722","1/MO","McFarland Clinic - Duff Ave","Ames","42.0268","-93.62018","Jonathon Ross Geisinger, MD"
"Orthopaedic Surgery","Carroll","McFarland Clinic/Urgent Care - Carroll","42.06565","-94.86722","1/MO","McFarland Clinic - Duff Ave","Ames","42.0268","-93.62018","Thomas A Greenwald, MD"
