specialty,community,clinic_site,frequency,group,point_of_origin,consultant
Gastroenterology,Atlantic,Cass Health Hospital,2/MO,Midwest GI Associates PC,"Omaha, NE","Benjamin Stuart Hall, MD"
General Surgery,Atlantic,Cass Health Hospital,1/MO,Methodist Health Systems,"Omaha, NE","John Moonkeun Park, MD"
Gynecologic Oncology,Atlantic,Cass Health Hospital,1/MO,University of Nebraska Med Ctr,"Omaha, NE","Kerry Julene Rodabaugh, MD"
Interventional Cardiology,Atlantic,Cass Health Hospital,1/WK,The Heart Institute,"Omaha, NE","Michael M Dehning, MD"
Interventional Cardiology,Atlantic,Cass Health Hospital,2/WK,CHI Heart and Vascular Specialists,"Omaha, NE","Toufik Mahfood-Haddad, MD"
Medical Oncology,Atlantic,Cass Health Hospital,1/WK,Mission Cancer + Blood - John Stoddard,Des Moines,"Seema Harichand-Herdt, MD"
Medical Oncology,Atlantic,Cass Health Hospital,1/MO,Heartland Oncology & Hematology,Council Bluffs,"Sakeer Hussain, MD"
Neurological Surgery,Atlantic,Cass Health Hospital,2/MO,Doctor's Building North,"Omaha, NE","Ric Edee Jensen, MD"
Neurological Surgery,Atlantic,Cass Health Hospital,2/MO,MD West One,"Omaha, NE","Jordan Patrick Lacy, MD"
Neurological Surgery,Atlantic,Cass Health Hospital,2/MO,MD West One,"Omaha, NE","Keith Raman Lodhia, MD"
Neurology,Atlantic,Cass Health Hospital,2/MO,St Anthony Clinic - Carroll,Carroll,"Brian Lee Boes, MD"
Pediatric Cardiology,Atlantic,Cass Health Hospital,1/WK,Childrens Hospital & Medical Center,"Omaha, NE","Thomas John Blount, MD"
Pulmonary Disease,Atlantic,Cass Health Hospital,1/MO,Methodist Phyicians Clinic Pulmonary/Neurology,Council Bluffs,"Palvannananthan Ganesan, MD"
Pulmonary Disease,Atlantic,Cass Health Hospital,2/MO,Methodist Phyicians Clinic Pulmonary/Neurology,Council Bluffs,"Sumit Mukherjee, MD"
Rheumatology,Atlantic,Cass Health Hospital,2/MO,Iowa Arthritis & Osteoporosis Center,Urbandale,"Gino Paul Chesini, DO"
Rheumatology,Atlantic,Cass Health Hospital,2/MO,Iowa Arthritis & Osteoporosis Center,Urbandale,"Matthew James Samec, MD"
Rheumatology,Atlantic,Cass Health Hospital,2/MO,Iowa Arthritis & Osteoporosis Center,Urbandale,"Thomas William Schmidt, MD"
Rheumatology,Atlantic,Cass Health Hospital,2/MO,Iowa Arthritis & Osteoporosis Center,Urbandale,"Stephen James Slade, MD"
Urology,Atlantic,Cass Health Hospital,1/WK,Adult & Pediatric Urology PC,"Omaha, NE","Euclid R J De Souza, MD"
Urology,Atlantic,Cass Health Hospital,1/WK,Adult & Pediatric Urology PC,"Omaha, NE","John D Horgan, MD"
Urology,Atlantic,Cass Health Hospital,2/MO,Urology Center of Iowa,Clive,"McCabe Clayton Kenny, MD"
Ophthalmology,Atlantic,Eye Associates of Atlantic,2/MO,Midwest EyeCare,"Omaha, NE","Jesse Theodore Himebaugh, MD"
Ophthalmology,Atlantic,Eye Associates of Atlantic,2/MO,Midwest EyeCare,"Omaha, NE","David Ingvoldstad, MD"
Cardiovascular Disease,Audubon,Audubon County Memorial Hospital,2/MO,Iowa Heart Center - Carroll,Carroll,"Kyle Gerard Ulveling, MD"
Obstetrics & Gynecology,Audubon,Audubon County Memorial Hospital,2/MO,Shenandoah Physicians Clinic,Shenandoah,"Michael P Woods, MD"
Orthopaedic Surgery,Audubon,Audubon County Memorial Hospital,2/MO,St Anthony Regional Hospital,Carroll,"Richard Brian Goding, MD"
Otolaryngology,Audubon,Audubon County Memorial Hospital,2/MO,ENT Specialists PC,"Omaha, NE","Kyle Jonathan Stansifer, MD"
Urology,Audubon,Audubon County Memorial Hospital,2/MO,Lakeview Center for Urology,West Des Moines,"Fawad S Zafar, MD"
Cardiovascular Disease,Belmond,Iowa Specialty Hospital/Clinics - Belmond,1/WK,Mason City Clinic PC,Mason City,"Muhammad Anwar Al Sharif, DO"
Cardiovascular Disease,Belmond,Iowa Specialty Hospital/Clinics - Belmond,1/WK,Mason City Clinic PC,Mason City,"Byron T Beasley, MD"
Cardiovascular Disease,Belmond,Iowa Specialty Hospital/Clinics - Belmond,1/WK,Mason City Clinic PC,Mason City,"Radu Hagau, MD"
General Surgery,Belmond,Iowa Specialty Hospital/Clinics - Belmond,1/WK,Iowa Weight Loss Specialists - Des Moines,Des Moines,"Todd Allen Eibes, MD"
General Surgery,Belmond,Iowa Specialty Hospital/Clinics - Belmond,3+/WK,UnityPoint Surgery Center - Fort Dodge,Fort Dodge,"Ericha Lee Worple, DO"
Hand Surgery,Belmond,Iowa Specialty Hospital/Clinics - Belmond,2/MO,McFarland Clinic - Duff Ave,Ames,"Betsey Katherine Bean, DO"
Pain Medicine Anes,Belmond,Iowa Specialty Hospital/Clinics - Belmond,2/WK,Iowa Specialty Hospital - Clarion,Clarion,"Shelley Marie Wells, DO"
Urology,Belmond,Iowa Specialty Hospital/Clinics - Belmond,1/MO,Mason City Clinic PC,Mason City,"Timothy L Mulholland, MD"
Urology,Belmond,Iowa Specialty Hospital/Clinics - Belmond,1/MO,Mason City Clinic PC,Mason City,"Kevin R Rier, MD"
Urology,Belmond,Iowa Specialty Hospital/Clinics - Belmond,1/MO,Mason City Clinic PC,Mason City,"Elizabeth B Takacs, MD"
Urology,Belmond,Iowa Specialty Hospital/Clinics - Belmond,1/MO,Mason City Clinic PC,Mason City,"Steven Patrick Thoma, MD"
Vascular Surgery,Belmond,Iowa Specialty Hospital/Clinics - Belmond,1/MO,UnityPoint Surgery Center - Fort Dodge,Fort Dodge,"Michael J Willerth, MD"
Dermatology,Bettendorf,Child Health Specialty Clinic - Bettendorf,2/MO,UIHC - Dept of Dermatology IRL,Coralville,"Paula Annechino Giudici, MD"
Dermatology,Bettendorf,Child Health Specialty Clinic - Bettendorf,2/MO,UIHC - Dept of Dermatology,Iowa City,"Vincent Liu, MD"
Dermatology,Bettendorf,Child Health Specialty Clinic - Bettendorf,3+/WK,UIHC Clinic/Urgent Care - Bettendorf,Bettendorf,"Melissa Willis, MD"
Neurology,Bettendorf,Child Health Specialty Clinic - Bettendorf,2/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Satsuki Matsumoto, MD"
Pediatric Endocrinology,Bettendorf,Child Health Specialty Clinic - Bettendorf,1/WK,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Lauren Amanda Kanner, MD"
Pediatric Endocrinology,Bettendorf,Child Health Specialty Clinic - Bettendorf,1/WK,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Katie Marie Larson Ode, MD"
Pediatric Gastroenterology,Bettendorf,Child Health Specialty Clinic - Bettendorf,1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Aamer Imdad, MD"
Pediatric Gastroenterology,Bettendorf,Child Health Specialty Clinic - Bettendorf,1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Riad M Rahhal, MD"
Pediatric Hematology - Oncology,Bettendorf,Child Health Specialty Clinic - Bettendorf,1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Anjali Alatkar Sharathkumar, MD"
Pediatric Medical Genetics,Bettendorf,Child Health Specialty Clinic - Bettendorf,<1/MO,UIHC Pediatrics - IRL,Coralville,"Nicole Pauline Safina, MD"
Pediatric Medical Genetics,Bettendorf,Child Health Specialty Clinic - Bettendorf,<1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Alpa Sidhu, MD"
Pediatric Nephrology,Bettendorf,Child Health Specialty Clinic - Bettendorf,1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Kang Yu Kathy Lee-Son, MD"
Pediatric Neurodevelopmental Disabilities,Bettendorf,Child Health Specialty Clinic - Bettendorf,1/WK,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Deborah C Lin-Dyken, MD"
Pediatric Neurodevelopmental Disabilities,Bettendorf,Child Health Specialty Clinic - Bettendorf,<1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Katherine D Mathews, MD"
Pediatric Pulmonology,Bettendorf,Child Health Specialty Clinic - Bettendorf,1/WK,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Rebecca Larie Weiner, MD"
Pediatric Urology,Bettendorf,Child Health Specialty Clinic - Bettendorf,1/MO,UIHC - Dept of Urology,Iowa City,"Gina Marie Lockwood, MD"
Pulmonary Disease,Bettendorf,UnityPoint Clinic Multi Specialty - Bettendorf,,UIHC Medical Center Downtown,Iowa City,"Michael Shamaine Hoffman, MD"
Allergy & Immunology,Bloomfield,Davis County Hospital,2/MO,Kirksville Allergy & Asthma,"Kirksville, MO","Lawrence Lester Ciesemier, DO"
Orthopaedic Surgery,Bloomfield,Davis County Hospital,1/WK,Wayne County Hospital,Corydon,"Shehada Mohamad Homedan, MD"
Otolaryngology,Bloomfield,Davis County Hospital,2/MO,UnityPoint Clinic ENT - Grinnell,Grinnell,"Joseph Keith Whitman, DO"
Urology,Bloomfield,Davis County Hospital,2/MO,Premier Specialty Network,"Columbia, MO","Robert Edward Remis, MD"
Allergy & Immunology,Boone,Boone County Hospital,1/MO,McFarland Clinic - Duff Ave,Ames,"Jay Edward Brown, MD"
Cardiovascular Disease,Boone,Boone County Hospital,2/MO,Iowa Heart Center - Ames,Ames,"Rakshak Sarda, MD"
Medical Oncology,Boone,Boone County Hospital,2/MO,McFarland - William Bliss Cancer Center,Ames,"Austin Robert Greco, MD"
Nephrology,Boone,Boone County Hospital,1/MO,McFarland Clinic - Medical Arts Building,Ames,"Jacob C Alexander, MD"
Ophthalmology,Boone,Boone County Hospital,2/MO,Wolfe Eye Clinic - Des Moines,West Des Moines,"Gregory Allen Christiansen, MD"
Otolaryngology,Boone,Boone County Hospital,1/WK,MercyOne Clinics ENT - Clive,Clive,"Corey W Mineck, MD"
Otolaryngology,Boone,Boone County Hospital,1/WK,MercyOne Clinics ENT - Clive,Clive,"Matthew B Morgan, MD"
Physical Medicine & Rehab,Boone,Boone County Hospital,1/MO,Iowa Clinic - Physical Med/Podiatry,West Des Moines,"Todd C Troll, MD"
Pulmonary Disease,Boone,Boone County Hospital,2/MO,Iowa Clinic Pulmonary,West Des Moines,"Amerlon L Enriquez, MD"
Pulmonary Disease,Boone,Boone County Hospital,2/MO,Iowa Clinic Pulmonary,West Des Moines,"James Christopher Mallen, DO"
General Surgery,Boone,Comprehensive Specialty Care,2/MO,Audubon County Memorial Hospital,Audubon,"Jeffrey M Maire, DO"
Orthopaedic Surgery,Boone,Comprehensive Specialty Care,2/WK,Iowa Orthopaedic Center - Des Moines,Des Moines,"Steven Anthony Aviles, MD"
Orthopaedic Surgery,Boone,Comprehensive Specialty Care,2/WK,Iowa Orthopaedic Center - Des Moines,Des Moines,"Craig R Mahoney, MD"
Orthopaedic Surgery,Boone,Comprehensive Specialty Care,2/WK,Iowa Orthopaedic Center - Des Moines,Des Moines,"Benjamin Stanley Paulson, MD"
Ophthalmology,Boone,McFarland Eye Center,1/MO,McFarland Clinic - Duff Ave Eye Center,Ames,"Nicolas G Hamouche, MD"
Cardiovascular Disease,Britt,Hancock County Memorial Hospital,1/WK,Mason City Clinic PC,Mason City,"Byron T Beasley, MD"
Cardiovascular Disease,Britt,Hancock County Memorial Hospital,1/WK,Mason City Clinic PC,Mason City,"Denisa Lavinia Hagau, MD"
Dermatology,Britt,Hancock County Memorial Hospital,1/MO,MercyOne Clinics Dermatology - Mason City,Mason City,"Yen Chen Liu, MD"
General Surgery,Britt,Hancock County Memorial Hospital,1/WK,Mason City Clinic PC,Mason City,"Kathryn Leighton Schwalbe, DO"
Nephrology,Britt,Hancock County Memorial Hospital,4+/MO,MercyOne North Iowa Specialty Care - Mason City,Mason City,"Mark I Chieh Hong, MD"
Ophthalmology,Britt,Hancock County Memorial Hospital,1/MO,North Iowa Eye Clinic,Mason City,"Melissa Marie Summerfield, MD"
Orthopaedic Surgery,Britt,Hancock County Memorial Hospital,1/MO,Mason City Clinic PC,Mason City,"Mihail Radulescu, MD"
Otolaryngology,Britt,Hancock County Memorial Hospital,2/MO,Mason City Clinic PC,Mason City,"Vishram Jalukar, MD"
Plastic Surgery,Britt,Hancock County Memorial Hospital,1/MO,SOMA Med Spa & Wellness Clinic,Algona,"Harry M Condoleon, DO"
Cardiovascular Disease,Carroll,Iowa Heart Center - Carroll,1/MO,Iowa Heart Center - West Des Moines,West Des Moines,"Laurie M Kuestner, MD"
Allergy & Immunology,Carroll,McFarland Clinic/Urgent Care - Carroll,2/MO,McFarland Clinic - Duff Ave,Ames,"Edward G Nassif, MD"
Neurology,Carroll,McFarland Clinic/Urgent Care - Carroll,1/MO,McFarland Clinic - Medical Arts Building,Ames,"David B Moore, MD"
Obstetrics & Gynecology,Carroll,McFarland Clinic/Urgent Care - Carroll,3/MO,McFarland Clinic - Medical Arts Building,Ames,"Jack Jeffrey Swanson, DO"
Ophthalmology,Carroll,McFarland Clinic/Urgent Care - Carroll,2/MO,McFarland Clinic - Duff Ave Eye Center,Ames,"Joy Natalie Carroll, MD"
Orthopaedic Surgery,Carroll,McFarland Clinic/Urgent Care - Carroll,1/MO,McFarland Clinic - Duff Ave,Ames,"Christy Marie Christophersen, MD"
Orthopaedic Surgery,Carroll,McFarland Clinic/Urgent Care - Carroll,1/MO,McFarland Clinic - Duff Ave,Ames,"Jonathon Ross Geisinger, MD"
Orthopaedic Surgery,Carroll,McFarland Clinic/Urgent Care - Carroll,1/MO,McFarland Clinic - Duff Ave,Ames,"Thomas A Greenwald, MD"
Otolaryngology,Carroll,McFarland Clinic/Urgent Care - Carroll,1/MO,McFarland Clinic - Duff Ave,Ames,"Jean Dorothy Hermsen, DO"
Urology,Carroll,McFarland Clinic/Urgent Care - Carroll,2/MO,McFarland Clinic - Duff Ave,Ames,"Garrett Steven Korrect, MD"
Urology,Carroll,St Anthony Clinic - Carroll,4+/MO,Siouxland Urological Assoc,"Dakota Dunes, SD","Adam Benjamin Althaus, MD"
Nephrology,Carroll,St Anthony Regional Hospital,4+/MO,Iowa Kidney Physicians - Med Plaza Office,Des Moines,"Paravathy Krishna Geetha, MD"
Nephrology,Carroll,St Anthony Regional Hospital,4+/MO,Iowa Kidney Physicians - West Des Moines,West Des Moines,"Sameer A Yaseen, MD"
Otolaryngology,Carroll,St Anthony Regional Hospital,1/MO,Wellendorf ENT,Carroll,"Tracey G Wellendorf, MD"
Pulmonary Disease,Carroll,St Anthony Regional Hospital,2/MO,Iowa Clinic Pulmonary,West Des Moines,"Ryan Matthew Brimeyer, DO"
Pulmonary Disease,Carroll,St Anthony Regional Hospital,2/MO,Iowa Clinic Pulmonary,West Des Moines,"James Christopher Mallen, DO"
Pulmonary Disease,Carroll,St Anthony Regional Hospital,2/MO,Iowa Clinic Pulmonary,West Des Moines,"Jason Dean Mohr, DO"
Infectious Disease,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,2/MO,UIHC - Dept of Internal Medicine,Iowa City,"Alpheus Benjamin Appenheimer, MD"
Infectious Disease,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,2/MO,UIHC - Dept of Internal Medicine,Iowa City,"Jason H Barker, MD"
Infectious Disease,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,2/MO,UIHC - Dept of Internal Medicine,Iowa City,"Quanhathai Kaewpoowat, MD"
Infectious Disease,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,2/MO,UIHC - Dept of Internal Medicine,Iowa City,"Jeffrey L Meier, MD"
Infectious Disease,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,2/MO,UIHC - Dept of Internal Medicine,Iowa City,"Jack T Stapleton, MD"
Orthopaedic Surgery,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,1/MO,UIHC - Dept of Ortho Surgery & Rehab,Iowa City,"Heather Renee Kowalski, MD"
Pediatric Endocrinology,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,2/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Akhila Ramakrishna, MD"
Pediatric Gastroenterology,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,2/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Donna Ann Cheung, MD"
Pediatric Gastroenterology,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,2/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Nadia Naz, MD"
Pediatric Hematology - Oncology,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,2/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"David Alan Claassen, MD"
Pediatric Medical Genetics,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,<1/MO,UIHC Pediatrics - IRL,Coralville,"Nicole Pauline Safina, MD"
Pediatric Nephrology,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,2/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Jason Mark Misurac, MD"
Pediatric Neurodevelopmental Disabilities,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,<1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Katherine D Mathews, MD"
Pediatric Neurodevelopmental Disabilities,Cedar Falls,UIHC Specialty Clinic - Cedar Falls,<1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Dimah Nayef Saade, MD"
Obstetrics & Gynecology,Cedar Rapids,UIHC Clinic / Urgent Care - Cedar Rapids,3/MO,UIHC - Dept of Obstetrics/Gynecology,Iowa City,"Kimberly Ann Kenne, MD"
Pediatric Endocrinology,Cedar Rapids,UIHC Clinic / Urgent Care - Cedar Rapids,3/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Eirene Georgia Alexandrou, MD"
Pediatric Endocrinology,Cedar Rapids,UIHC Clinic / Urgent Care - Cedar Rapids,3/MO,UIHC - Dept of Internal Medicine,Iowa City,"Erin Elizabeth Briggie, MD"
Pediatric Gastroenterology,Cedar Rapids,UIHC Clinic / Urgent Care - Cedar Rapids,1/WK,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Catherine Diane DeGeeter, MD"
Medical Oncology,Centerville,MercyOne Medical Center - Centerville,1/WK,Mission Cancer + Blood - MercyOne Des Moines,Des Moines,"Tara Michelle Graff, DO"
Medical Oncology,Centerville,MercyOne Medical Center - Centerville,1/WK,Mission Cancer + Blood - MercyOne Des Moines,Des Moines,"Angela E Sandre, DO"
Nephrology,Centerville,MercyOne Medical Center - Centerville,2/MO,Associates in Kidney Care PLC,Des Moines,"Jobinson Thomas, MD"
Orthopaedic Surgery,Centerville,MercyOne Medical Center - Centerville,2/MO,Wayne County Hospital,Corydon,"Shehada Mohamad Homedan, MD"
Otolaryngology,Centerville,MercyOne Medical Center - Centerville,2/MO,MercyOne Clinics ENT - Clive,Clive,"Marshall C Greiman, MD"
Urology,Centerville,MercyOne Medical Center - Centerville,1/WK,Lakeview Center for Urology,West Des Moines,"Fawad S Zafar, MD"
Ophthalmology,Chariton,Chariton Vision Center,1/MO,Wolfe Eye Clinic - Des Moines,West Des Moines,"Matthew Paul Rauen, MD"
Cardiovascular Disease,Chariton,LCHC Medical Clinic - Chariton,1/MO,Iowa Clinic Cardiovascular - West Des Moines,West Des Moines,"Lucas Paul Groben, DO"
General Surgery,Chariton,LCHC Medical Clinic - Chariton,2/WK,Iowa Specialty Surgeons,West Des Moines,"Paul A Conte, MD"
Hematology-Oncology,Chariton,LCHC Medical Clinic - Chariton,2/MO,Mission Cancer + Blood - MercyOne Des Moines,Des Moines,"Giselle Mary Mery, MD"
Obstetrics & Gynecology,Chariton,LCHC Medical Clinic - Chariton,2/MO,PRHC Medical Clinic/Urgent Care - Pella,Pella,"Dale L Lensing, MD"
Allergy & Immunology,Chariton,Lucas County Health Center,1/MO,Allergy Asthma & Sinus Center PC,West Des Moines,"Ravinder K Agarwal, MD"
Nephrology,Chariton,Lucas County Health Center,1/MO,Iowa Kidney Physicians - Med Plaza Office,Des Moines,"Vignesh Viswanathan, MD"
Orthopaedic Surgery,Chariton,Lucas County Health Center,2/MO,Des Moines Ortho Surgeons - East,Des Moines,"Ian Lin, MD"
